206492 Chinlund, Nick
186997 Cassel, Vincent
925138 Plummer, Christopher
1140616 Sørensen, Reidar
364294 Fiennes, Joseph
167564 Caine, Michael
1109320 Stallone, Sylvester
858970 O'Donnell, David
972957 Rhames, Ving
1263865 Wilson, Luke
339996 Epps, Omar
595438 Keith, Toby
524506 Howell, C. Thomas
50900 Attwood, Gavin
1094907 Snipes, Wesley
117096 Bochner, Hart
174652 Cannon, Nick
415757 Ghai, Jilon
984249 Robbins, Greg
708468 López, Mario
1133182 Sutherland, Kiefer
1109894 Stanek, James
137340 Brazeau, Jay
368184 Fishburne, Laurence
843803 Nicholas, Thomas Ian
196408 Chan, Jackie
633096 Kristofferson, Kris
559662 Jensen, Todd
5384 Adair-Rios, Mark
1133182 Sutherland, Kiefer
822098 Murphy, Eddie
416734 Giamatti, Paul
47486 Ashby, Linden
1270949 Wong, Victor
81491 Bayar
267411 Davies, Jeremy
24706 Altman, Robert
182177 Carrey, Jim
380802 Fox, Edward
262340 Daniels, Jeff
562367 JJ, Little
1264649 Wilson-O'Brien, Tommy
618940 Knoxville, Johnny
207735 Choi, Ilram
1051131 Scott, Tom Everett
396620 Gainey, M.C.
532566 Hurt, John
898324 Paxton, Bill
353698 Farrell, Colin
206492 Chinlund, Nick
260886 Damon, Matt
1093708 Smith, Will
894044 Pastorelli, Robert
115546 Blucas, Marc
227120 Coltrane, Robbie
330373 Eguchi, Yôsuke
976313 Richardson, John
27854 Amitrano, Christopher
672462 Leon, Carlos
963263 Redford, Robert
896300 Patton, Will
875245 Osment, Haley Joel
842379 Newton, Roy
442658 Gray, Andy
394725 Gabai, Richard
326985 Eckles, Chris
820277 Muniz, Frankie
467322 Haley, Jackie Earle
676998 Levrone, Kevin
53129 Avari, Erick
64882 Ballard, Jamie
1256297 Wilder, Nick
1236536 Warren, Marc
64160 Bales, Kevin
288600 Depp, Johnny
1162594 Thomsen, Ulrich
250898 Culkin, Kieran
1180893 Trotter, Tariq
757910 McCoy, Matt
994280 Rohde, Armin
296753 Diesel, Vin
594271 Keegan, Andrew
1237202 Washington, Denzel
297980 Dillon, Matt
235908 Cornelissen, Alex
381286 Foxx, Jamie
943103 Purefoy, James
860750 O'Neill, Daniel
984019 Robards, Jason
